corpus	endpoint	A	T	P	C	B	D	S	Y	R	F	I	V	L	M	activated_dims
PSD2	PSD2 Berlin Group|GET /v1/accounts/{account-id}/transactions/{transactionId}	1	1	0	1	0	1	0	0	0	0	0	0	0	0	A,T,C,D
PSD2	PSD2 Berlin Group|GET /v1/accounts/{account-id}/cheques	1	1	0	1	0	1	0	0	0	0	1	0	0	0	A,T,C,D,I
PSD2	PSD2 Berlin Group|GET /v1/card-accounts	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/card-accounts/{account-id}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/card-accounts/{account-id}/balances	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/card-accounts/{account-id}/transactions	1	1	0	1	0	1	0	0	0	0	1	0	0	0	A,T,C,D,I
PSD2	PSD2 Berlin Group|POST /v1/consents	1	1	0	1	0	1	0	0	0	0	1	0	0	0	A,T,C,D,I
PSD2	PSD2 Berlin Group|GET /v1/consents/{consentId}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|DELETE /v1/consents/{consentId}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|GET /v1/consents/{consentId}/status	1	0	0	1	0	1	0	0	0	0	1	0	0	0	A,C,D,I
PSD2	PSD2 Berlin Group|GET /v1/consents/{consentId}/authorisations	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|POST /v1/consents/{consentId}/authorisations	1	1	0	1	0	1	0	0	0	0	1	1	0	0	A,T,C,D,I,V
PSD2	PSD2 Berlin Group|GET /v1/consents/{consentId}/authorisations/{authorisationId}	1	0	0	1	0	1	0	0	0	0	1	0	0	0	A,C,D,I
PSD2	PSD2 Berlin Group|PUT /v1/consents/{consentId}/authorisations/{authorisationId}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|POST /v1/funds-confirmations	1	0	0	1	0	1	0	0	0	1	0	0	0	0	A,C,D,F
PSD2	PSD2 Berlin Group|POST /v1/signing-baskets	1	1	0	1	0	1	0	0	0	0	1	1	0	0	A,T,C,D,I,V
PSD2	PSD2 Berlin Group|GET /v1/signing-baskets/{basketId}	0	0	0	0	0	1	0	0	0	0	0	0	0	0	D
PSD2	PSD2 Berlin Group|DELETE /v1/signing-baskets/{basketId}	0	1	0	0	0	1	0	0	0	0	0	0	0	0	T,D
PSD2	PSD2 Berlin Group|GET /v1/signing-baskets/{basketId}/status	0	0	0	0	0	1	0	0	0	0	1	0	0	0	D,I
PSD2	PSD2 Berlin Group|GET /v1/signing-baskets/{basketId}/authorisations	0	0	0	0	0	1	0	0	0	0	0	0	0	0	D
PSD2	PSD2 Berlin Group|POST /v1/signing-baskets/{basketId}/authorisations	1	1	0	1	0	1	0	0	0	0	1	1	0	0	A,T,C,D,I,V
PSD2	PSD2 Berlin Group|GET /v1/signing-baskets/{basketId}/authorisations/{authorisationId}	0	0	0	0	0	1	0	0	0	0	1	0	0	0	D,I
PSD2	PSD2 Berlin Group|PUT /v1/signing-baskets/{basketId}/authorisations/{authorisationId}	1	0	0	1	0	1	0	0	0	0	0	0	0	0	A,C,D
PSD2	PSD2 Berlin Group|POST /v1/{party-verification-endpoint}	1	0	0	0	1	1	0	0	0	0	0	0	0	0	A,B,D
PSD2	PSD2 Berlin Group|POST /v1/{bulk-party-verification-endpoint}	0	1	0	0	1	1	0	1	0	0	0	0	0	0	T,B,D,Y
PSD2	PSD2 Berlin Group|GET /v1/{bulk-party-verification-endpoint}/{vopBulkId}	0	0	0	0	1	1	0	1	0	0	1	0	0	0	B,D,Y,I
PSD2	PSD2 Berlin Group|GET /v1/{bulk-party-verification-endpoint}/{vopBulkId}/status	0	0	0	0	1	1	0	1	0	0	1	0	0	0	B,D,Y,I
PSD2	PSD2 Berlin Group|PUT /v1/{payment-service}/{payment-product}/{paymentId}/creditor-confirmation	0	0	1	0	0	0	1	0	1	0	0	0	0	0	P,S,R
BIAN	BIAN r12|ACHOperations|PUT /ACHOperations/{achoperationsid}/Update	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BIAN	BIAN r12|ACHOperations|GET /ACHOperations/{achoperationsid}/Retrieve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BIAN	BIAN r12|ACHOperations|POST /ACHOperations/{achoperationsid}/InboundACH/Initiate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
